Code NAF|Définition|Groupe 
3511Z|production d’électricité|Production et distribution d’électricité, de gaz et d’eau : gestion des déchets
3512Z|transport d’électricité|Production et distribution d’électricité, de gaz et d’eau : gestion des déchets
3513Z|distribution d’électricité|Production et distribution d’électricité, de gaz et d’eau : gestion des déchets
3514Z|commerce d’électricité|Production et distribution d’électricité, de gaz et d’eau : gestion des déchets
3521Z|production de combustibles gazeux|Production et distribution d’électricité, de gaz et d’eau : gestion des déchets
3522Z|distribution de combustibles gazeux par conduite|Production et distribution d’électricité, de gaz et d’eau : gestion des déchets
3523Z|commerce de combustibles gazeux par conduite|Production et distribution d’électricité, de gaz et d’eau : gestion des déchets
3600Z|captage, traitement et distribution d’eau|Production et distribution d’électricité, de gaz et d’eau : gestion des déchets
3700Z|collecte et traitement des eaux usées|Production et distribution d’électricité, de gaz et d’eau : gestion des déchets
3811Z|collecte des déchets non dangereux|Production et distribution d’électricité, de gaz et d’eau : gestion des déchets
3812Z|collecte des déchets dangereux|Production et distribution d’électricité, de gaz et d’eau : gestion des déchets
3821Z|traitement et élimination des déchets non dangereux|Production et distribution d’électricité, de gaz et d’eau : gestion des déchets
3822Z|traitement et élimination des déchets dangereux|Production et distribution d’électricité, de gaz et d’eau : gestion des déchets
3832Z|récupération de déchets triés|Production et distribution d’électricité, de gaz et d’eau : gestion des déchets
3900Z|dépollution et autres services de gestion des déchets|Production et distribution d’électricité, de gaz et d’eau : gestion des déchets
3211Z|frappe de monnaie|Autres industries manufacturières : réparation et installation de machines et d’équipements
3212Z|fabrication d’article de joaillerie et bijouterie|Autres industries manufacturières : réparation et installation de machines et d’équipements
3213Z|fabrication d‘articles de bijouterie fantaisie et articles similaires|Autres industries manufacturières : réparation et installation de machines et d’équipements
3220Z|fabrication d’instruments de musique|Autres industries manufacturières : réparation et installation de machines et d’équipements
3230Z|fabrication d’articles de sport|Autres industries manufacturières : réparation et installation de machines et d’équipements
3240Z|fabrication de jeux et jouets|Autres industries manufacturières : réparation et installation de machines et d’équipements
3250A|fabrication de matériel médico-chirurgical et dentaire|Autres industries manufacturières : réparation et installation de machines et d’équipements
3250B|fabrication de lunettes|Autres industries manufacturières : réparation et installation de machines et d’équipements
3291Z|fabrication d’articles de brosserie|Autres industries manufacturières : réparation et installation de machines et d’équipements
3299Z|autres activités manufacturières n.c.a|Autres industries manufacturières : réparation et installation de machines et d’équipements
3311Z|réparation d’ouvrages en métaux|Autres industries manufacturières : réparation et installation de machines et d’équipements
3312Z|réparation de machines et équipements mécaniques|Autres industries manufacturières : réparation et installation de machines et d’équipements
3313Z|réparation de matériels électroniques et optiques|Autres industries manufacturières : réparation et installation de machines et d’équipements
