siret,lng,lat,siren,RH,NAF,Activité,Groupe
78999089200026,4.808505,46.966408,789990892,35,10.71A,fabrication industrielle de pain et de pâtisserie fraiche,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac"
32139358900023,2.3541594,48.879265,321393589,4,10.71A,fabrication industrielle de pain et de pâtisserie fraiche,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac"
51292222000029,2.3734555,48.891594,512922220,0,10.71A,fabrication industrielle de pain et de pâtisserie fraiche,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac"
41289269700019,4.851306,47.009304,412892697,350,10.71A,fabrication industrielle de pain et de pâtisserie fraiche,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac"
47845579302038,5.0643167,47.338776,478455793,35,10.71A,fabrication industrielle de pain et de pâtisserie fraiche,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac"
53187864300026,4.996544,47.225056,531878643,15,10.71A,fabrication industrielle de pain et de pâtisserie fraiche,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac"
38080133200020,2.3073,48.860435,380801332,15,10.71A,fabrication industrielle de pain et de pâtisserie fraiche,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac"
42299817900036,2.3430882,48.8696,422998179,35,10.71A,fabrication industrielle de pain et de pâtisserie fraiche,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac"
52339630700010,2.3139844,48.834454,523396307,35,10.71A,fabrication industrielle de pain et de pâtisserie fraiche,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac"
83953102700044,4.878523,47.10556,839531027,8,08.11Z,"extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d’ardoise",Industries extractives
30157371300015,4.7331057,47.664124,301573713,8,08.11Z,"extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d’ardoise",Industries extractives
52274328500010,4.544626,47.788464,522743285,15,08.11Z,"extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d’ardoise",Industries extractives
78858835800028,5.1832724,47.615448,788588358,2,08.11Z,"extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d’ardoise",Industries extractives
42171731500012,4.5733366,47.765575,421717315,0,08.11Z,"extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d’ardoise",Industries extractives
52274328500036,4.9105763,47.098347,522743285,15,08.11Z,"extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d’ardoise",Industries extractives
51814228600013,4.8786044,47.090183,518142286,4,08.11Z,"extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d’ardoise",Industries extractives
79192979700029,2.3414385,48.866978,791929797,4,08.11Z,"extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d’ardoise",Industries extractives
32728319800015,4.7838945,47.753605,327283198,4,08.11Z,"extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d’ardoise",Industries extractives
41903749400012,5.0081735,47.11599,419037494,4,16.24Z,fabrication d’emballages en bois,"Travail du bois, industries du papier et imprimerie"
51562044100011,4.714342,47.002747,515620441,35,16.24Z,fabrication d’emballages en bois,"Travail du bois, industries du papier et imprimerie"
52832947700012,4.843201,47.046093,528329477,4,16.24Z,fabrication d’emballages en bois,"Travail du bois, industries du papier et imprimerie"
34935781400012,4.8811846,47.07084,349357814,35,16.24Z,fabrication d’emballages en bois,"Travail du bois, industries du papier et imprimerie"
50233264600012,4.6794844,47.575043,502332646,15,16.24Z,fabrication d’emballages en bois,"Travail du bois, industries du papier et imprimerie"
40365524400016,4.710281,46.999207,403655244,15,16.24Z,fabrication d’emballages en bois,"Travail du bois, industries du papier et imprimerie"
79809406600015,5.1418095,46.992905,798094066,2,16.24Z,fabrication d’emballages en bois,"Travail du bois, industries du papier et imprimerie"
42266948100018,5.214315,47.12393,422669481,15,16.24Z,fabrication d’emballages en bois,"Travail du bois, industries du papier et imprimerie"
44837315900020,4.467911,47.868748,448373159,35,16.24Z,fabrication d’emballages en bois,"Travail du bois, industries du papier et imprimerie"
81754924900024,5.0516224,47.115143,817549249,4,16.24Z,fabrication d’emballages en bois,"Travail du bois, industries du papier et imprimerie"
31954565300010,4.572219,47.557457,319545653,8,16.24Z,fabrication d’emballages en bois,"Travail du bois, industries du papier et imprimerie"
39998161200027,4.994626,47.01638,399981612,15,16.24Z,fabrication d’emballages en bois,"Travail du bois, industries du papier et imprimerie"
77556334900080,4.840976,47.00826,775563349,15,16.24Z,fabrication d’emballages en bois,"Travail du bois, industries du papier et imprimerie"
49226622600017,5.27616,47.06396,492266226,2,16.24Z,fabrication d’emballages en bois,"Travail du bois, industries du papier et imprimerie"
43347411100039,5.263054,47.223152,433474111,8,16.24Z,fabrication d’emballages en bois,"Travail du bois, industries du papier et imprimerie"
40430127700020,4.891867,47.068104,404301277,35,16.24Z,fabrication d’emballages en bois,"Travail du bois, industries du papier et imprimerie"
1645017300014,5.1876273,47.322716,16450173,15,16.24Z,fabrication d’emballages en bois,"Travail du bois, industries du papier et imprimerie"
33754604800014,4.8403964,47.611332,337546048,4,16.24Z,fabrication d’emballages en bois,"Travail du bois, industries du papier et imprimerie"
53334846200029,4.746427,46.92378,533348462,4,16.24Z,fabrication d’emballages en bois,"Travail du bois, industries du papier et imprimerie"
31430671300020,4.9610367,47.125805,314306713,8,16.24Z,fabrication d’emballages en bois,"Travail du bois, industries du papier et imprimerie"
81214643900029,4.559398,47.85407,812146439,4,16.24Z,fabrication d’emballages en bois,"Travail du bois, industries du papier et imprimerie"
33241357400036,4.8628874,47.024025,332413574,15,16.24Z,fabrication d’emballages en bois,"Travail du bois, industries du papier et imprimerie"
