siret,lng,lat,siren,RH,NAF,Activité,Groupe
42435053600084,4.5297046,45.73547,424350536,15,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
76820025500067,4.8032384,45.880047,768200255,4,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
48754155900042,4.5492764,46.158516,487541559,8,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
56211088201781,4.5025134,45.73085,562110882,15,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
41227459900023,4.6674557,45.99562,412274599,8,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
56211088201799,4.6859612,45.58733,562110882,8,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
35381602800016,4.6880593,45.762436,353816028,8,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
48754155900067,4.78608,45.62902,487541559,15,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
71298043200124,5.0309095,45.663147,712980432,8,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
48754155900059,5.012313,45.672043,487541559,15,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
37841602800074,5.0273952,45.67632,378416028,15,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
42435053600076,4.5226636,45.736233,424350536,4,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
32707387000013,4.981146,45.672215,327073870,15,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
56211088201435,4.774013,45.613,562110882,2,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
37841602800140,4.967463,45.800148,378416028,8,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
56211088201773,5.012313,45.672043,562110882,8,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
76820025500133,4.7556314,46.099216,768200255,4,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
57378070700010,4.7490144,45.98093,573780707,15,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
56211088201765,4.7611923,45.629868,562110882,35,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
96750603100020,5.0419927,45.75913,967506031,15,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
56211088201427,4.8427067,45.70766,562110882,2,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
48423142800026,4.83926,45.72274,484231428,4,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
76820025500539,4.896618,45.787197,768200255,0,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
42164874200011,4.704829,45.618565,421648742,8,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
55208131785480,4.8119526,45.55655,552081317,2,35.11Z,production d’électricité,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
95752090100621,4.7627873,45.461857,957520901,75,35.11Z,production d’électricité,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
51405040000019,4.721605,45.816425,514050400,2,35.11Z,production d’électricité,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
